layer,chunk_id,feature,n_questions,mean_auc_pos,median_auc_pos,ci_low_pos,ci_high_pos,mean_auc_neg,median_auc_neg
24,0,lad_max,1117,0.49000058617896575,0.5,0.474728699055719,0.5061687875687428,0.5099994138210343,0.5
24,2,cos_std,894,0.4883802066687972,0.5,0.4681747529828486,0.5094013329604773,0.5116197933312028,0.5
36,1,lad_p90,1046,0.4880607150444627,0.5,0.4713802344153085,0.5059510910801542,0.5119392849555373,0.5
36,0,lad_mean,1117,0.4876135055633713,0.5,0.4717782804706484,0.5043311165110628,0.5123864944366288,0.5
24,1,spike_rate_105,1046,0.48715856323408907,0.5,0.4706571069114388,0.5049502023961273,0.512841436765911,0.5
24,1,lad_mean,1046,0.4829528210264348,0.48333333333333334,0.46690435881969106,0.5017902003854443,0.5170471789735651,0.5166666666666666
24,2,lad_std,894,0.48268460814601755,0.5,0.4630273028301552,0.5038769264230675,0.5173153918539825,0.5
36,0,spike_rate_105,1117,0.48225023447158627,0.46875,0.466916318955962,0.49832681209233914,0.5177497655284137,0.53125
36,1,av_lad_p90,1046,0.4819782087468512,0.5,0.46504040335063285,0.4982514738687062,0.5180217912531488,0.5
24,2,ae_norm_b6,846,0.4816487016398364,0.5,0.4609652830547112,0.50172510284157,0.5183512983601637,0.5
36,2,aa_lad_p90,894,0.4809466105607045,0.5,0.46271252796420587,0.5005559827864777,0.5190533894392955,0.5
24,3,cos_std,782,0.4756312669995535,0.5,0.45220466447448543,0.49673927632647263,0.5243687330004465,0.5
36,1,lad_max,1046,0.47445370117454244,0.4666666666666667,0.4573627661309903,0.490592852780054,0.5255462988254574,0.5333333333333333
36,3,aa_lad_p90,782,0.474302257134738,0.5,0.45254600662728856,0.49688193936995095,0.525697742865262,0.5
24,3,lad_std,782,0.4728037591848333,0.5,0.44913173512158483,0.4943991926480737,0.5271962408151667,0.5
36,2,av_lad_p90,894,0.4727599783388374,0.5,0.4533192291644473,0.49328017360001425,0.5272400216611627,0.5
36,2,lad_p90,894,0.47219314832569864,0.5,0.4516328987784525,0.49194405050424345,0.5278068516743013,0.5
24,1,lad_max,1046,0.4709862211296245,0.4666666666666667,0.4532815819524113,0.4878735507906158,0.5290137788703754,0.5333333333333333
24,2,spike_rate_105,894,0.4691541493554916,0.5,0.44937536897216007,0.4887858929459181,0.5308458506445083,0.5
24,3,aa_lad_p90,782,0.4670208663175415,0.5,0.44345740470101086,0.4889819170421792,0.5329791336824585,0.5
36,3,lad_p90,782,0.4662718710672675,0.5,0.44561469877806203,0.4885705341919376,0.5337281289327325,0.5
36,3,av_lad_p90,782,0.46560660496082495,0.5,0.44525729585312385,0.48723034141192706,0.534393395039175,0.5
36,1,lad_mean,1046,0.465301109290115,0.45555555555555555,0.4470133719915627,0.48276652459103464,0.534698890709885,0.5444444444444445
24,2,aa_lad_p90,894,0.4650800308937893,0.4666666666666667,0.44444837829800077,0.4856177259774156,0.5349199691062108,0.5333333333333333
36,1,spike_rate_105,1046,0.4629141817657592,0.4583333333333333,0.44547792374199524,0.4801659643502079,0.5370858182342408,0.5416666666666667
36,2,lad_max,894,0.4590803771172899,0.4666666666666667,0.4381424498863677,0.47867716545044564,0.5409196228827101,0.5333333333333333
24,2,lad_mean,894,0.4569582046092114,0.4444444444444444,0.43650748153474656,0.4762105671407265,0.5430417953907887,0.5555555555555556
24,3,spike_rate_105,782,0.45138026224982747,0.4375,0.4296593968203224,0.47383830570271585,0.5486197377501726,0.5625
24,2,av_lad_p90,894,0.4512816927665921,0.4375,0.43154351874045666,0.4722176336511487,0.5487183072334079,0.5625
24,2,lad_p90,894,0.4505488530236852,0.42857142857142855,0.430367546207521,0.47094685469266007,0.5494511469763148,0.5714285714285714
24,3,av_lad_p90,782,0.4473610096212398,0.4666666666666667,0.42436666514431853,0.46890811487638534,0.5526389903787602,0.5333333333333333
24,2,lad_max,894,0.44371826284577964,0.42857142857142855,0.42473911171478285,0.4648813962572351,0.5562817371542204,0.5714285714285714
24,3,lad_mean,782,0.44316186619575365,0.4166666666666667,0.42041811924044986,0.4654621404721309,0.5568381338042464,0.5833333333333333
36,2,lad_mean,894,0.44069879443201593,0.42857142857142855,0.4222314936880792,0.4608730880029118,0.5593012055679841,0.5714285714285714
36,3,lad_max,782,0.4378582592457273,0.4409722222222222,0.41714724023667443,0.45801530213534686,0.5621417407542727,0.5590277777777778
24,3,lad_p90,782,0.43648865343238746,0.42857142857142855,0.41419814755612394,0.4588723396967483,0.5635113465676125,0.5714285714285714
36,2,spike_rate_105,894,0.43143898032740324,0.4166666666666667,0.41255143139004297,0.4507497431066013,0.5685610196725969,0.5833333333333333
36,3,lad_mean,782,0.42085540738034344,0.4166666666666667,0.3995068987740024,0.4429783978808915,0.5791445926196566,0.5833333333333333
36,3,spike_rate_105,782,0.41793148418787807,0.4166666666666667,0.3951448292179191,0.4392911091066861,0.582068515812122,0.5833333333333333
24,3,lad_max,782,0.41470994194779365,0.4,0.39327063796533107,0.4377054789307028,0.5852900580522064,0.6
